buy,coupon,purch,last,training
yes,5,2,5,1
no,5,2,33,0
no,4,11,11,1
no,3,5,25,1
no,1,1,15,1
no,5,10,27,1
yes,2,1,11,1
no,4,6,25,1
no,3,9,3,0
yes,5,2,27,1
no,1,2,1,0
yes,5,2,7,0
no,1,1,5,0
no,1,7,17,1
no,2,1,9,1
no,4,1,1,1
no,3,3,17,0
no,1,3,29,0
yes,4,2,7,0
yes,5,2,1,0
yes,5,11,5,1
no,1,8,25,1
no,1,10,3,1
no,4,10,7,0
yes,5,8,7,1
no,3,1,21,1
no,3,9,1,1
no,5,2,15,0
no,2,11,5,0
no,1,8,5,1
no,4,2,25,1
no,1,2,33,1
no,2,2,25,0
no,2,1,27,1
no,4,2,1,1
yes,2,1,1,1
yes,4,1,1,1
no,1,6,17,0
yes,5,2,15,1
no,3,1,11,1
no,3,2,11,1
no,2,5,9,1
yes,5,2,27,1
no,2,2,7,1
no,1,12,23,1
no,5,2,25,1
no,3,1,15,1
no,5,2,15,0
no,1,4,7,0
no,3,6,5,1
no,2,1,25,1
no,1,10,27,1
yes,5,2,25,0
yes,5,1,25,0
yes,4,12,5,1
no,2,12,7,1
no,2,1,21,1
no,2,2,23,1
yes,5,1,27,1
no,4,1,29,1
no,4,4,1,0
no,4,3,1,1
yes,5,1,1,1
yes,2,1,11,0
no,4,1,11,1
no,3,2,1,0
no,1,4,5,1
no,3,1,25,1
no,3,1,15,0
no,3,9,33,1
no,2,1,1,0
no,1,1,11,1
yes,2,1,7,1
no,1,5,25,1
yes,5,9,11,1
no,3,10,29,0
no,5,1,25,1
no,3,2,5,1
no,1,2,11,0
no,3,6,5,0
yes,2,6,9,1
no,5,2,15,1
no,2,10,3,1
yes,3,1,15,0
no,3,6,25,1
no,5,1,29,1
no,1,7,11,1
yes,5,12,19,1
no,5,1,1,1
yes,4,5,21,1
no,1,2,23,1
yes,4,1,11,0
no,3,2,25,1
no,5,2,25,1
no,5,2,25,1
no,4,2,5,1
no,1,1,5,0
no,1,2,15,1
no,1,8,5,1
yes,4,2,7,0
yes,5,2,15,1
no,1,2,35,0
yes,5,1,27,1
yes,5,2,1,1
yes,4,2,7,1
no,5,9,23,1
no,5,2,13,1
no,1,1,17,1
yes,3,7,27,1
yes,1,10,1,1
no,3,8,15,0
no,3,7,25,1
no,1,9,25,1
no,1,9,5,1
yes,5,1,7,1
yes,5,2,1,1
yes,4,10,11,1
yes,4,5,5,1
yes,2,5,11,1
yes,2,8,1,0
yes,4,9,5,1
no,5,2,29,1
no,4,4,11,0
yes,5,11,9,1
yes,4,2,25,0
yes,5,3,1,1
no,1,2,5,1
no,2,2,25,0
no,4,2,9,1
yes,2,11,5,0
no,5,1,11,0
no,1,1,11,1
yes,4,8,7,0
no,1,1,15,0
no,3,4,21,0
no,4,1,7,1
no,1,1,27,1
yes,2,1,7,0
yes,5,8,5,1
no,4,1,21,0
no,2,5,27,0
no,5,1,15,1
no,5,9,25,1
no,1,1,11,1
no,5,4,29,1
yes,2,2,1,1
no,2,3,3,1
yes,5,11,5,1
no,4,2,25,0
no,3,1,5,0
no,3,2,29,0
no,2,7,7,1
no,1,7,11,1
no,1,2,1,1
no,3,2,25,0
yes,5,9,11,1
no,5,1,23,1
no,1,12,17,0
no,3,3,25,1
yes,5,1,25,0
no,1,4,15,1
no,2,11,25,1
yes,5,10,5,0
yes,5,2,5,1
no,1,2,11,1
no,5,2,25,0
no,1,2,29,0
no,2,2,11,1
no,1,5,1,1
no,4,1,25,0
yes,5,6,23,1
no,1,11,5,0
no,1,1,25,0
yes,3,7,7,0
no,5,1,29,1
no,5,1,25,1
no,2,6,29,0
yes,4,1,5,0
yes,5,11,25,1
no,2,1,11,1
no,2,11,29,0
no,2,12,23,1
no,4,12,3,1
no,3,7,25,0
no,5,6,7,1
no,4,6,1,0
no,1,1,33,1
yes,4,1,5,1
no,3,2,11,1
no,3,5,1,1
no,3,2,29,0
yes,2,1,25,1
yes,3,1,7,1
yes,3,2,17,1
no,4,2,15,1
yes,5,2,19,0
no,1,6,21,1
yes,5,8,29,0
no,1,1,1,1
no,3,3,33,1
yes,4,3,19,0
no,4,2,7,1
no,2,2,29,1
no,4,1,31,0
yes,5,7,11,0
no,4,7,25,1
no,1,9,15,0
no,1,6,29,1
no,4,1,15,0
no,3,2,23,0
yes,5,8,5,0
no,1,5,27,0
no,2,1,23,1
yes,2,1,11,0
no,4,1,25,1
yes,5,1,11,0
no,4,2,25,0
yes,5,2,5,1
yes,4,1,5,1
no,1,1,5,1
no,3,3,5,0
yes,3,10,29,1
yes,5,5,7,0
no,1,10,1,0
no,5,1,33,0
no,1,2,5,0
no,4,1,7,1
no,5,5,11,0
no,2,5,1,1
no,1,3,23,0
no,5,1,29,0
no,3,4,15,1
no,2,1,9,1
yes,2,2,1,1
yes,5,10,11,0
yes,3,2,1,1
yes,5,1,3,1
yes,3,6,1,1
no,4,5,5,1
yes,5,2,17,1
yes,4,9,11,1
no,2,1,31,1
no,5,2,29,1
yes,1,11,1,0
yes,4,3,1,0
no,3,7,29,1
yes,4,2,11,1
no,1,2,31,1
yes,3,1,1,1
no,1,6,7,1
no,1,2,21,0
no,2,1,29,1
no,2,3,15,1
no,1,2,17,1
no,2,6,11,0
yes,4,1,13,1
no,1,5,15,1
yes,5,1,23,0
no,2,7,5,1
yes,3,4,5,1
no,2,3,5,1
no,1,1,5,1
no,2,2,33,0
no,4,1,29,1
no,3,2,5,1
no,5,5,7,0
yes,4,1,25,1
no,1,1,1,1
no,4,1,7,1
no,3,2,11,1
yes,5,7,5,1
no,4,1,29,0
no,4,12,9,1
yes,3,2,7,1
yes,5,2,1,1
yes,4,6,1,1
yes,5,6,9,0
no,1,9,11,1
yes,5,1,7,1
no,3,2,11,1
no,5,9,11,1
no,5,2,17,1
yes,5,2,5,1
yes,4,1,7,1
no,3,1,27,1
no,1,2,1,1
no,5,1,7,1
no,2,6,27,1
no,1,2,11,1
no,3,1,7,1
yes,5,2,25,1
no,2,1,1,0
yes,5,1,7,1
no,3,2,1,1
no,4,2,25,1
yes,5,4,29,0
no,1,2,1,0
no,3,1,15,1
no,1,10,1,1
no,1,5,11,1
no,4,5,1,1
yes,1,2,7,1
no,2,1,27,1
no,1,1,15,0
no,2,4,15,0
no,1,7,5,1
no,1,5,27,0
no,4,1,13,1
no,1,2,27,1
no,1,1,29,1
no,2,1,27,1
no,3,1,13,1
no,4,1,25,0
no,3,5,17,1
no,4,10,31,1
no,3,1,7,0
no,1,2,29,1
no,1,5,35,1
no,5,6,15,1
yes,3,2,5,0
no,4,1,21,1
no,2,1,15,1
no,3,2,5,1
no,2,5,27,0
yes,5,2,1,0
no,4,6,29,1
no,4,8,25,0
yes,5,2,1,1
no,1,12,17,1
no,2,11,33,0
no,1,7,29,0
no,4,2,1,1
no,2,2,11,1
no,1,2,1,1
no,2,1,1,0
no,3,1,3,1
no,5,1,19,1
yes,4,7,1,1
no,1,4,5,1
no,3,12,23,0
no,3,1,27,1
no,2,1,9,1
yes,2,12,7,0
no,1,1,5,1
no,3,6,29,1
no,2,1,1,1
yes,5,1,3,1
no,4,5,29,1
yes,1,11,15,1
no,4,10,15,0
yes,5,10,11,1
no,4,1,5,1
no,1,2,27,1
yes,5,1,23,0
no,3,2,27,1
yes,3,2,1,1
no,3,2,33,0
no,3,2,1,1
yes,2,8,5,1
no,1,11,5,0
yes,5,9,5,1
no,1,2,5,1
yes,2,2,1,0
no,4,1,1,0
yes,3,6,1,1
no,5,2,15,1
no,5,1,11,1
no,5,2,21,1
no,2,1,21,1
no,3,1,17,0
no,3,1,5,1
yes,4,12,5,0
yes,5,5,1,0
no,4,2,11,0
no,4,1,25,0
yes,5,5,3,1
no,3,1,5,1
no,2,1,1,1
no,2,2,11,0
